old_my_translation,new_deepseek
"人造石英石板材，由 90% 石英粉与树脂制成，提供米色及其他色调。高度耐酸、耐污、耐热、耐刮擦；适用于厨房台面、台盆面、地面铺装等。","人造石英石板材，由90%石英粉与树脂制成，提供米色及其他色调。高度耐酸、耐污、耐热、耐刮擦；适用于厨房台面、台盆面、地面铺装等。"
"鹏翔人造石英石板材（PXQZ-240901-1），提供白、灰、黑、米等色。由 90% 石英粉与树脂制成，高度耐酸、耐污、耐热、耐刮擦，适用于厨房台面等。","鹏翔人造石英石板材（PXQZ-240901-1），提供白、灰、黑、米等色。由90%石英粉与树脂制成，高度耐酸、耐污、耐热、耐刮擦，适用于厨房台面等。"
"经典 Calacatta 风格人造石英石，白底配灰纹，由 90% 石英粉与树脂制成。适用于厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居，性能出色。","经典Calacatta风格人造石英石，白底配灰纹，由90%石英粉与树脂制成。适用于厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居，性能出色。"
"经典 Calacatta 风格人造石英石板材，鹏翔的热销产品之一。典型应用包括厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居。","经典Calacatta风格人造石英石板材，鹏翔的热销产品之一。典型应用包括厨房台面与中岛台面、墙面饰面、卫浴台盆面及定制家居。"
"人造石英石纹（白 / 灰 / 黑）","人造石英石纹（白/灰/黑）"
"人造石英石板材，由 90% 石英粉与树脂制成，提供白、灰、黑、米等色。厂家热销产品之一，适用于厨房台面、墙面饰面、卫浴台盆面等。","人造石英石板材，由90%石英粉与树脂制成，提供白、灰、黑、米等色。厂家热销产品之一，适用于厨房台面、墙面饰面、卫浴台盆面等。"
"人造石英石（石英粉 90%、树脂）","人造石英石（石英粉90%、树脂）"
"高度耐酸 / 耐污 / 耐热 / 耐刮擦，环保，易于清洁，耐用","高度耐酸/耐污/耐热/耐刮擦，环保，易于清洁，耐用"
"蓝色人造石英石板材，外观仿天然石材，由 90% 石英粉与树脂制成。高度耐酸、耐污、耐热、耐刮擦，环保且易于维护。","蓝色人造石英石板材，外观仿天然石材，由90%石英粉与树脂制成。高度耐酸、耐污、耐热、耐刮擦，环保且易于维护。"
"20-30mm（可选 16-30mm）","20-30mm（可选16-30mm）"
"经典 Calacatta 风格白色人造石英石板材，配灰纹，由 90% 石英粉与树脂制成。这款热销人造石具备耐酸、耐污、耐热、耐刮擦性能。","经典Calacatta风格白色人造石英石板材，配灰纹，由90%石英粉与树脂制成。这款热销人造石具备耐酸、耐污、耐热、耐刮擦性能。"
"20-30mm（常用范围 16mm-30mm）","20-30mm（常用范围16mm-30mm）"
"经典 Calacatta 风格白色人造石英石板材，配灰纹，由 90% 石英粉与树脂制成。适用于厨房台面、墙面饰面、卫浴台盆面及室内空间的定制家居。","经典Calacatta风格白色人造石英石板材，配灰纹，由90%石英粉与树脂制成。适用于厨房台面、墙面饰面、卫浴台盆面及室内空间的定制家居。"
"耐酸 / 耐污 / 耐热 / 耐刮擦，环保，易于维护清洁，耐用","耐酸/耐污/耐热/耐刮擦，环保，易于维护清洁，耐用"
"Calacatta 纹理人造石英石表面，由石英粉（90%）与树脂制成，抛光处理。耐酸、耐污、耐热、耐刮擦，环保且易于清洁；适用面广。","Calacatta纹理人造石英石表面，由石英粉（90%）与树脂制成，抛光处理。耐酸、耐污、耐热、耐刮擦，环保且易于清洁；适用面广。"
"20-30mm（范围 16-30mm）","20-30mm（范围16-30mm）"
"白色、灰色、黑色、米色（Calacatta 设计）","白色、灰色、黑色、米色（Calacatta设计）"
"跨多大洲——西方技术 + 中国供应链","跨越多大洲——西方技术 + 中国供应链"
"国际照明集团 Feilo Sylvania——跨多大洲的研发网络 + 工厂","国际照明集团 Feilo Sylvania——跨越多大洲的研发网络 + 工厂"
"AA 电池 + 应急供电接口（视型号而定）","AA电池 + 应急供电接口（视型号而定）"
"DIY 安装简便","DIY安装简便"
"TEEHO WiFi 智能锁（TE011W/TE012W）—— 可通过 App 远程控制与下发密码、查看进出记录、集成语音助手，支持指纹/密码/App/钥匙开锁。","TEEHO WiFi智能锁（TE011W/TE012W）——可通过App远程控制与下发密码、查看进出记录、集成语音助手，支持指纹/密码/App/钥匙开锁。"
"WiFi 系列将 TEEHO 门锁接入智能家居生态。","WiFi系列将TEEHO门锁接入智能家居生态。"
"WiFi 智能锁","WiFi智能锁"
"App 远程控制、下发 / 锁定密码、记录","App远程控制、下发/锁定密码、记录"
"随时随地通过 App 下发密码与开锁。","随时随地通过App下发密码与开锁。"
"TEEHO 密码执手锁（TE001L/TE002L/TE003/TE004）—— 适用于房门 / 入户门的电子执手锁，支持指纹与密码开锁，配机械应急钥匙。","TEEHO密码执手锁（TE001L/TE002L/TE003/TE004）——适用于房门/入户门的电子执手锁，支持指纹与密码开锁，配机械应急钥匙。"
"TEEHO 执手锁套装（TE001K/TE002K/TE001H）—— 插芯锁 + 同步执手套装组合，适用于入户门，支持指纹与密码开锁。","TEEHO执手锁套装（TE001K/TE002K/TE001H）——插芯锁+同步执手套装组合，适用于入户门，支持指纹与密码开锁。"
"插芯锁 + 执手套装（handle set）","插芯锁+执手套装（handle set）"
"插芯锁 + 同步执手，守护入户门。","插芯锁+同步执手，守护入户门。"
"TEEHO 智能执手（TE018）—— 集成指纹 / 密码的门执手，简洁紧凑，适用于房门。","TEEHO智能执手（TE018）——集成指纹/密码的门执手，简洁紧凑，适用于房门。"
"TEEHO 网关（G1）—— 连接器 / hub，让蓝牙门锁可通过 WiFi 实现远程控制，扩展智能家居功能。","TEEHO网关（G1）——连接器/hub，让蓝牙门锁可通过WiFi实现远程控制，扩展智能家居功能。"
"网关是 TEEHO 门锁系统的连接扩展配件。","网关是TEEHO门锁系统的连接扩展配件。"
"网关 / 连接 Hub","网关/连接Hub"
"蓝牙 ↔ WiFi 桥接，实现远程控制","蓝牙↔WiFi桥接，实现远程控制"
"支持网关的 TEEHO 门锁","支持网关的TEEHO门锁"
"让蓝牙门锁可通过 App 实现远程控制。","让蓝牙门锁可通过App实现远程控制。"
"TEEHO TE001 密码插芯锁","TEEHO TE001密码插芯锁"
"TEEHO TE001 是一款面向入户门的无钥匙电子插芯锁，可通过背光键盘 PIN 密码或两把机械应急钥匙开锁。本锁完全离线运行（无需 App、Wi-Fi 或蓝牙）。","TEEHO TE001是一款面向入户门的无钥匙电子插芯锁，可通过背光键盘PIN密码或两把机械应急钥匙开锁。本锁完全离线运行（无需App、Wi-Fi或蓝牙）。"
"键盘 PIN 密码 + 2 把机械应急钥匙","键盘PIN密码 + 2把机械应急钥匙"
"最多 20 组访问密码；支持一次性密码（使用后自动删除）","最多20组访问密码；支持一次性密码（使用后自动删除）"
"无 —— 完全离线运行，无需 App / Wi-Fi / 蓝牙","无——完全离线运行，无需App/Wi-Fi/蓝牙"
"支持；长按任意键 1.5 秒可一键上锁","支持；长按任意键1.5秒可一键上锁"
"4 节 5 号（AA）电池，续航约 1 年；电量低于 15% 时红灯提示","4节5号（AA）电池，续航约1年；电量低于15%时红灯提示"
"IP54 防水","IP54防水"
"-22°F 至 158°F（-30°C 至 70°C）","-22°F至158°F（-30°C至70°C）"
"通过带背光键盘无钥匙开锁，附 2 把机械应急钥匙","通过带背光键盘无钥匙开锁，附2把机械应急钥匙"
"最多可存储 20 组用户 PIN 密码及一次性访客密码（使用后自动删除）","最多可存储20组用户PIN密码及一次性访客密码（使用后自动删除）"
"自动上锁与一键上锁（长按任意键 1.5 秒）","自动上锁与一键上锁（长按任意键1.5秒）"
"完全离线运行 —— 无需 App、Wi-Fi、蓝牙或复杂编程","完全离线运行——无需App、Wi-Fi、蓝牙或复杂编程"
"IP54 耐候，在 -22°F 至 158°F 各种气候条件下均可运行","IP54耐候，在-22°F至158°F各种气候条件下均可运行"
"4 节 AA 电池续航约 1 年，电量不足时红灯报警","4节AA电池续航约1年，电量不足时红灯报警"
"TEEHO TE001K 密码插芯锁套装","TEEHO TE001K密码插芯锁套装"
"TEEHO TE001K 是一套无钥匙入户门锁套装，将键盘插芯锁与 2 个同步室内门球形执手相结合。可通过最多 20 组访问密码（4-10 位）或机械钥匙开锁，并具备智能自动上锁功能。","TEEHO TE001K是一套无钥匙入户门锁套装，将键盘插芯锁与2个同步室内门球形执手相结合。可通过最多20组访问密码（4-10位）或机械钥匙开锁，并具备智能自动上锁功能。"
"键盘访问密码（4-10 位）+ 机械钥匙","键盘访问密码（4-10位）+ 机械钥匙"
"20 组访问密码；支持一次性密码","20组访问密码；支持一次性密码"
"无（独立键盘锁；无 WiFi/蓝牙/App）","无（独立键盘锁；无WiFi/蓝牙/App）"
"智能自动上锁 10-99 秒，或一键上锁（长按任意键 2 秒）","智能自动上锁10-99秒，或一键上锁（长按任意键2秒）"
"锁芯 / 安全等级","锁芯/安全等级"
"ANSI Grade 3 智能锁芯，耐用合金","ANSI Grade 3智能锁芯，耐用合金"
"IP54 标准","IP54标准"
"4 节 AA 电池，续航 1 年以上","4节AA电池，续航1年以上"
"颜色 / 表面处理","颜色/表面处理"
"无钥匙开锁，支持 20 组可编程访问密码（4-10 位）及机械应急钥匙","无钥匙开锁，支持20组可编程访问密码（4-10位）及机械应急钥匙"
"智能自动上锁：可设定 10-99 秒定时，或长按任意键 2 秒一键上锁","智能自动上锁：可设定10-99秒定时，或长按任意键2秒一键上锁"
"为 Airbnb 房客、保洁、邻居及快递员提供一次性访问密码 —— 使用后自动删除","为Airbnb房客、保洁、邻居及快递员提供一次性访问密码——使用后自动删除"
"插芯锁芯达 ANSI Grade 3 标准，采用耐用合金，IP54 标准耐候","插芯锁芯达ANSI Grade 3标准，采用耐用合金，IP54标准耐候"
"完整套装含同步密码插芯锁与 2 个室内门球形执手","完整套装含同步密码插芯锁与2个室内门球形执手"
"TEEHO TE002 指纹密码插芯锁","TEEHO TE002指纹密码插芯锁"
"TEEHO TE002 是一款面向入户门、支持指纹开锁的无钥匙键盘电子插芯锁。支持最多 20 枚指纹与 20 组密码及机械应急钥匙，具备自动上锁、一次性密码等功能。","TEEHO TE002是一款面向入户门、支持指纹开锁的无钥匙键盘电子插芯锁。支持最多20枚指纹与20组密码及机械应急钥匙，具备自动上锁、一次性密码等功能。"
"指纹、键盘密码、机械钥匙（2 把应急钥匙）、一次性密码","指纹、键盘密码、机械钥匙（2把应急钥匙）、一次性密码"
"最多 20 枚指纹","最多20枚指纹"
"最多 20 组密码","最多20组密码"
"无（独立密码插芯锁；无 WiFi/蓝牙）","无（独立密码插芯锁；无WiFi/蓝牙）"
"可调，10 至 99 秒后自动上锁；长按任意键 1.5 秒可一键上锁","可调，10至99秒后自动上锁；长按任意键1.5秒可一键上锁"
"4 节 AA 电池，续航长达 12 个月；电量低于 15% 时红灯提示","4节AA电池，续航长达12个月；电量低于15%时红灯提示"
"最多 20 枚指纹与 20 组密码，每位家庭成员均可自定义专属开锁方式","最多20枚指纹与20组密码，每位家庭成员均可自定义专属开锁方式"
"一键上锁与自动上锁：长按任意键 1.5 秒即可上锁；10 至 99 秒后自动上锁","一键上锁与自动上锁：长按任意键1.5秒即可上锁；10至99秒后自动上锁"
"IP54 防水，在 -22°F 至 158°F 下表现优异，适应寒冬、酷暑及雨天","IP54防水，在-22°F至158°F下表现优异，适应寒冬、酷暑及雨天"
"节能：4 节 AA 电池续航长达 12 个月，并配电量不足红灯提示","节能：4节AA电池续航长达12个月，并配电量不足红灯提示"
"附 2 把机械应急钥匙，可手动开锁","附2把机械应急钥匙，可手动开锁"
"TEEHO TE003 密码执手门锁","TEEHO TE003密码执手门锁"
"TEEHO TE003 是一款带一体执手的无钥匙键盘门锁。支持 PIN 密码开锁、访客一次性密码及外出模式，并达到 IP54 耐候等级，适用于朝向户外的门。","TEEHO TE003是一款带一体执手的无钥匙键盘门锁。支持PIN密码开锁、访客一次性密码及外出模式，并达到IP54耐候等级，适用于朝向户外的门。"
"键盘 / PIN 密码","键盘/PIN密码"
"无（无 WiFi/蓝牙）","无（无WiFi/蓝牙）"
"-31°F 至 150°F","-31°F至150°F"
"通过键盘 / PIN 密码无钥匙开锁","通过键盘/PIN密码无钥匙开锁"
"为访客提供一次性 PIN 密码","为访客提供一次性PIN密码"
"IP54 标准耐候","IP54标准耐候"
"可在 -31°F 至 150°F 温度范围内运行","可在-31°F至150°F温度范围内运行"
"TEEHO TE001L 执手锁套装","TEEHO TE001L执手锁套装"
"TEEHO TE001L 是一套带两个执手的无钥匙键盘门锁套装。支持键盘密码无钥匙开锁、自动上锁及为访客生成一次性密码，并达到户外耐候标准。","TEEHO TE001L是一套带两个执手的无钥匙键盘门锁套装。支持键盘密码无钥匙开锁、自动上锁及为访客生成一次性密码，并达到户外耐候标准。"
"键盘密码（无钥匙）；整套配 2 个执手","键盘密码（无钥匙）；整套配2个执手"
